message_id,action,message_type,reason,confidence,evidence_message_ids
msg_001,notify,urgent,"1. Sender & Context: The message is from an admin of the group, which is a trusted source for important updates. 2. Historical Engagement: The user has a history of reading and responding to similar messages regarding water supply issues. 3. Urgency: The message indicates that the tanker is leaving in 20 minutes, which is time-sensitive and requires immediate action to fill drinking water. 4. Conclusion: Therefore, the action should be notify.",0.83,message_0057;message_0240;message_0058
msg_002,notify,personal,Message directly mentions the user or uses direct pronouns in a short safe context.,0.85,none
msg_003,notify,business_update,Verified business sending delivery or order updates.,0.88,none
msg_004,notify,business_update,"1. Sender & Context: The message is from a verified healthcare business (Apollo 24|7) that the user has an ongoing relationship with regarding a clinic appointment. 2. Historical Engagement: The user has opened and engaged positively with similar messages in the past, indicating they find this information valuable. 3. Urgency: The message is time-sensitive as it pertains to health-related updates that should be reviewed before the scheduled appointment. 4. Conclusion: Therefore, the action should be notify.",0.83,message_0245;message_0005;message_0064
msg_005,notify,urgent,"1. Sender & Context: The message is from a member of a marketplace group, indicating a personal transaction. 2. Historical Engagement: The user has previously engaged with similar messages and has shown interest in items for sale. 3. Urgency: The message specifies a deadline (6 PM today) for collecting the jacket, making it time-sensitive. 4. Conclusion: Therefore, the action should be notify.",0.83,message_0049;message_0401;message_0065
msg_006,notify,event,"1. Sender & Context: The message is sent by an admin of the group, which indicates it is a trusted source. 2. Historical Engagement: The user has a good history of engaging with similar messages in this group, often opening and replying to them. 3. Urgency: The message contains important information about maintenance closing at 5 PM today, which is time-sensitive and requires action from the residents. 4. Conclusion: Therefore, the action should be notify.",0.83,message_0030;message_0029;message_0129
msg_007,digest,event,"1. Sender & Context: The message is from a group admin in a society group, which is a trusted source. 2. Historical Engagement: The user has opened messages from this group and has not dismissed or reported them, indicating they find the updates relevant. 3. Urgency: The message is informative about a potluck registration deadline but does not require immediate action and is not time-sensitive since it mentions a deadline of next Sunday. 4. Conclusion: Therefore, the action should be digest.",0.82,message_0070;message_0069
msg_008,digest,business_update,"1. Sender & Context: The message is from a verified business (Hoop) that the user has recently purchased from. 2. Historical Engagement: The user has opened previous messages from this business but has not replied to them, indicating a lack of engagement despite reading. 3. Urgency: The message is a request for feedback, which is not urgent and can wait. 4. Conclusion: Therefore, the action should be digest.",0.82,message_0296;message_0072;message_0071
msg_009,digest,event,"1. Sender & Context: The message is from a member of a sports group, which the user has muted. 2. Historical Engagement: The user has opened previous messages but has not actively engaged (replied) in the group. 3. Urgency: The message is casual and does not require immediate action; it suggests a potential discussion about cricket highlights without any pressing urgency. 4. Conclusion: Therefore, the action should be digest.",0.82,message_0074;message_0073
msg_010,digest,business_update,"1. Sender & Context: The message is from a verified business (PVR Cinemas) that the user has interacted with before. 2. Historical Engagement: The user has opened similar messages in the past and has not dismissed or reported them. 3. Urgency: The message is a feedback request, which is not urgent and can wait. 4. Conclusion: Therefore, the action should be digest.",0.83,message_0011;message_0075;message_0242
msg_011,mute,forward,Highly forwarded chain message with greeting/forward pattern.,0.85,message_0078;message_0172;message_0241
